(8006, '불고기전골', 'cs')
(8007, '낙지볶음', 'cs')
(8009, '약선반찬', 'cs')
(8011, '장어탕', 'cs')
(8012, '숙회', 'cs')
(8013, '전복해물탕', 'cs')
(8013, '해물탕', 'cs')
(8014, '육사시미', 'cs')
(8014, '두툼한생목살', 'cs')
(8014, '갈비전골', 'cs')
(8018, 'ㆍ채식뷔페 (평일점심', 'cs')
(8018, '주말)', 'cs')
(8018, '※ 메뉴의 가격은 변동이 많아 표기하지 않으므로 방문 문의요망', 'cs')
(8018, '메뉴는 음식점 사정에 따라 변동될 수 있으므로 참고 요망', 'cs')
(8019, '소바', 'cs')
(8020, '반갈비탕', 'cs')
(8020, '갈비전골', 'cs')
(8021, '새우메밀전', 'cs')
(8022, '교동 떡갈비', 'cs')
(8022, '육회', 'cs')
(8024, '땅콩크림라떼', 'cs')
(8024, '에스프레소', 'cs')
(8024, '참기름라떼', 'cs')
(8025, '만새전', 'cs')
(8025, '고추만새전', 'cs')
(8025, '묵은지 김치전', 'cs')
(8026, '백반', 'cs')
(8027, '함흥냉면', 'cs')
(8027, '김치찌개', 'cs')
(8027, '우거지', 'cs')
(8028, '화덕피자', 'cs')
(8028, '파스타', 'cs')
(8029, '설렁탕', 'cs')
(8029, '수육', 'cs')
(8031, '양갈비', 'cs')
(8031, '오뎅탕', 'cs')
(8034, '산채 정식', 'cs')
(8035, '원조 감자탕', 'cs')
(8035, '사골로만 감자탕', 'cs')
(8036, '안심', 'cs')
(8036, '갈비탕', 'cs')
(8036, '한우육회비빔밥', 'cs')
(8036, '전주비빔밥', 'cs')
(8037, '김치만두', 'cs')
(8038, '암뽕순대국밥', 'cs')
(8038, '피순대', 'cs')
(8038, '잡채순대', 'cs')
(8039, '황포묵무침', 'cs')
(8039, '삼계탕', 'cs')
(8001, '삭힌 홍어', 'uk')
(8002, '갈비탕', 'uk')
(8006, '불고기전골', 'uk')
(8007, '낙지볶음', 'uk')
(8009, '약선반찬', 'uk')
(8011, '장어탕', 'uk')
(8012, '숙회', 'uk')
(8013, '전복해물탕', 'uk')
(8013, '해물탕', 'uk')
(8014, '육사시미', 'uk')
(8014, '두툼한생목살', 'uk')
(8014, '갈비전골', 'uk')
(8018, 'ㆍ채식뷔페 (평일점심', 'uk')
(8018, '주말)', 'uk')
(8018, '※ 메뉴의 가격은 변동이 많아 표기하지 않으므로 방문 문의요망', 'uk')
(8018, '메뉴는 음식점 사정에 따라 변동될 수 있으므로 참고 요망', 'uk')
(8019, '소바', 'uk')
(8020, '반갈비탕', 'uk')
(8020, '갈비전골', 'uk')
(8021, '새우메밀전', 'uk')
(8022, '교동 떡갈비', 'uk')
(8022, '육회', 'uk')
(8024, '땅콩크림라떼', 'uk')
(8024, '에스프레소', 'uk')
(8024, '참기름라떼', 'uk')
(8025, '만새전', 'uk')
(8025, '고추만새전', 'uk')
(8025, '묵은지 김치전', 'uk')
(8026, '백반', 'uk')
(8027, '함흥냉면', 'uk')
(8027, '김치찌개', 'uk')
(8027, '우거지', 'uk')
(8028, '화덕피자', 'uk')
